Name,Nationality,Occupation,Affiliation,Ajah,Build,Clan,Current.status,Date.of.birth,Date.of.death,Eye.color,First.appeared,First.mentioned,Gender,Hair.color,Height,Last.appeared,Last.mentioned,Race,Rank,Sept,Society,Title,Weight
Jenric,Aiel,NA,Car'a'carn,NA,Massive,Unknown clan,Alive,NA,NA,NA,TFOH:3,NA,Male,NA,NA,TFOH:3,NA,NA,NA,Unknown sept,Unknown society,NA,NA
Jeorad Manyard,Andoran,NA,Artur Paendrag Tanreall,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:Epilogue,Male,NA,NA,NA,LOC:Epilogue,NA,Governor,NA,NA,Governor of the Province of Andor,NA
Jeordam,Aiel,NA,NA,NA,NA,Aiel,Dead,NA,NA,NA,TSR:25,NA,Male,NA,NA,TSR:25,NA,NA,NA,NA,NA,NA,NA
Jeordwyn Semaris,Illianer,NA,Council of Nine,NA,NA,NA,Alive,NA,NA,NA,TPOD:24,NA,Male,NA,NA,TPOD:24,NA,NA,NA,NA,NA,NA,NA
Jeorg Damentanis,Illianer,Merchant,NA,NA,NA,NA,Alive,NA,NA,Dark,KOD:20,NA,Male,NA,NA,KOD:20,NA,NA,NA,NA,NA,NA,NA
Jeral,Unknown nationality,Soldier,Children of the Light,NA,NA,NA,Alive,NA,NA,NA,TGH:29,NA,Male,NA,NA,TGH:29,NA,NA,NA,NA,NA,NA,NA
Jeral Florry,Andoran,Innkeeper,NA,NA,Round,NA,Alive,NA,NA,NA,TDR:40,NA,Male,NA,NA,TDR:40,NA,NA,NA,NA,NA,NA,NA
Jerasid,Andoran,Farrier,Two Rivers,NA,Broad and stocky,NA,Alive,NA,NA,NA,TPOD:9,NA,Male,NA,NA,TPOD:9,TGS:21,NA,NA,NA,NA,NA,NA
Jerinvar Barstere,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TSR:56,NA,Male,White,NA,TSR:56,NA,NA,NA,NA,NA,NA,NA
Jerum Nus,Unknown nationality,Soldier,Children of the Light,NA,NA,NA,Alive,NA,NA,NA,TOM:43,NA,Male,NA,NA,TOM:43,NA,NA,NA,NA,NA,NA,NA
Jheran,Aiel,Clan chief,Car'a'carn,NA,Slender,Shaarad,Alive,NA,NA,NA,TSR:57,TSR:28,Male,"Graying, brown",NA,AMOL:6,NA,NA,NA,NA,NA,NA,NA
Jhoradin,Aiel,NA,Sevanna,NA,Squat,Unknown clan,Dead,NA,1000 NE,Blue,TPOD:30,NA,Male,Red-golden,NA,KOD:30,TGS:21,NA,NA,Unknown sept,Mera'din,NA,NA
Jidar,Saldaean,Soldier,NA,NA,NA,NA,Alive,NA,NA,NA,LOC:45,NA,Male,NA,NA,LOC:45,NA,NA,NA,NA,NA,NA,NA
Jimar Chubain,Unknown nationality,Soldier,White Tower,NA,NA,NA,Alive,NA,NA,NA,TGS:41,ACOS:Prologue,Male,Black,NA,AMOL:9,NA,NA,High Captain,NA,NA,NA,NA
Jisao Hamora,Unknown nationality,Soldier,Younglings,NA,NA,NA,Alive,NA,NA,Dark,LOC:Prologue,NA,Male,NA,NA,TGS:4,NA,NA,NA,NA,NA,NA,NA
Joal Ramedar,Aldesharin,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:26,Male,NA,NA,NA,NA,NA,King,NA,NA,King of Aldeshar,NA
Joao,Shienaran,Soldier,Lan Mandragoran,NA,NA,NA,Alive,NA,NA,NA,TOM:23,NA,Male,NA,NA,TOM:23,NA,NA,NA,NA,NA,NA,NA
Joelin,Unknown nationality,Soldier,Children of the Light,NA,NA,NA,Dead,NA,999 NE,NA,NA,TSR:31,Male,NA,NA,NA,TSR:31,NA,NA,NA,NA,NA,NA
Johanin,Ghealdanin,NA,Ghealdan,NA,NA,NA,Dead,NA,999 NE,NA,NA,TFOH:39,Male,NA,NA,NA,KOD:18,NA,King,NA,NA,King of Ghealdan,NA
Jom,Unknown nationality,NA,NA,NA,NA,NA,Dead,NA,NA,NA,TSR:26,NA,Male,NA,NA,TSR:26,NA,NA,NA,NA,NA,NA,NA
Jon,Ghealdanin,Blacksmith,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TDR:8,Male,NA,NA,NA,TDR:8,NA,NA,NA,NA,NA,NA
Jon Ayellin,Andoran,NA,Perrin Aybara,NA,Hulking,NA,Alive,NA,NA,NA,LOC:Prologue,NA,Male,Bald,NA,TOM:40,NA,NA,NA,NA,NA,NA,NA
Jon Gaelin,Andoran,Farmer,Perrin Aybara,NA,NA,NA,Alive,NA,NA,NA,TOM:34,TSR:33,Male,NA,NA,TOM:34,NA,NA,NA,NA,NA,NA,NA
Jon Skellit,Andoran,Barber,Elayne Trakand,NA,NA,NA,Alive,NA,NA,NA,NA,WH:26,Male,NA,NA,NA,KOD:16,NA,NA,NA,NA,NA,NA
Jon Thane,Andoran,Miller,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TEOTW:2,TEOTW:1,Male,NA,NA,TSR:56,TOM:14,NA,NA,NA,NA,Village Councilor,NA
Jonai,Aiel,NA,NA,NA,NA,NA,Dead,NA,NA,NA,TSR:26,NA,Male,NA,NA,TSR:26,NA,NA,NA,NA,NA,NA,NA
Jonan Adley,Altaran,Asha'man,The Dragon Reborn,NA,NA,NA,Dead,NA,1000 NE,NA,LOC:11,NA,Male,NA,NA,TPOD:24,TPOD:27,NA,Soldier (Asha'man),NA,NA,NA,NA
Jondyn Barran,Andoran,Soldier,Perrin Aybara,NA,NA,NA,Alive,NA,NA,NA,ACOS:1,NA,Male,NA,NA,KOD:4,TOM:4,NA,NA,NA,NA,NA,NA
Joni Shagrin,Andoran,NA,House Bryne,NA,Big,NA,Dead,NA,1000 NE,NA,TFOH:1,NA,Male,"Gray, thinning",NA,TFOH:28,AMOL:27,NA,NA,NA,NA,NA,NA
Jonneth Dowtry,Andoran,Asha'man,Logain Ablar,NA,Lanky,NA,Alive,NA,NA,NA,TOM:46,NA,Male,NA,NA,AMOL:37,AMOL:37,NA,Asha'man,NA,NA,NA,NA
Jophil,Unknown nationality,NA,NA,NA,NA,NA,Alive,NA,NA,NA,AMOL:6,NA,Male,NA,NA,AMOL:6,NA,NA,NA,NA,NA,NA,NA
Jorgin,Domani,Questioner,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TGS:32,Male,NA,NA,NA,TGS:32,NA,NA,NA,NA,NA,NA
Jori,Cairhienin,Warder,White Tower,NA,Very Wide,NA,Alive,NA,NA,NA,LOC:29,NA,Male,Bald,Short,KOD:1,NA,NA,NA,NA,NA,Gaidin,NA
Jori Congar,Andoran,Soldier,Perrin Aybara,NA,Skinny,NA,Dead,NA,NA,NA,TPOD:9,NA,Male,NA,NA,TOM:53,AMOL:37,NA,NA,NA,NA,NA,NA
Jorin Arene,Amadician,Merchant,Darkfriend,NA,NA,NA,Alive,NA,NA,NA,NA,TFOH:18,Male,NA,NA,NA,TFOH:18,NA,NA,NA,NA,NA,NA
Jorlen Corbesan,Unknown nationality,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TGS:5,Male,NA,NA,NA,TGS:5,NA,Aes Sedai (Age of Legends),NA,NA,NA,NA
Jorshem,Aiel,Clan chief,NA,NA,NA,Unknown clan,Unknown,NA,NA,NA,NA,TOM:49,Male,NA,Tall,NA,NA,NA,NA,Unknown sept,NA,NA,NA
Jovarin,Unknown nationality,Mason,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TSR:47,Male,NA,NA,NA,TSR:47,NA,NA,NA,NA,NA,NA
Jowdry,Andoran,NA,NA,NA,NA,NA,Dead,NA,1000 NE,NA,NA,TOM:8,Male,NA,NA,NA,TOM:8,NA,NA,NA,NA,NA,NA
Juilin Sandar,Tairen,Thief-catcher,NA,NA,NA,NA,Dead,962 NE,NA,Dark,TDR:49,TDR:48,Male,Black,"1 span, 5 inches",AMOL:37,NA,NA,NA,NA,NA,NA,28 1/2 stone
Juin,NA,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TGH:35,NA,Male,NA,NA,TGH:37,NA,Ogier,NA,NA,NA,NA,NA
Jur Grady,Andoran,Asha'man,Perrin Aybara,NA,Stocky,NA,Alive,NA,NA,Dark,LOC:3,NA,Male,NA,NA,AMOL:45,NA,NA,Asha'man,NA,NA,NA,NA
Jurad Accan,Andoran,NA,House Trakand,NA,NA,NA,Alive,NA,NA,NA,NA,COT:11,Male,NA,NA,NA,COT:11,NA,NA,NA,NA,NA,NA
Jurah Haret,Tairen,Innkeeper,NA,NA,NA,NA,Alive,NA,NA,NA,TDR:50,NA,Male,Balding,NA,TDR:53,NA,NA,NA,NA,NA,NA,NA
Juranai,Aiel,NA,Car'a'carn,NA,NA,Unknown clan,Alive,NA,NA,NA,TFOH:41,NA,Male,"Brown, streaked with white",NA,TFOH:41,NA,NA,NA,Unknown sept,Aethan Dor,NA,NA
Juric,Aiel,Gai'shain,Bair,NA,NA,Unknown clan,Alive,NA,NA,NA,NA,NA,Male,NA,NA,NA,LOC:15,NA,NA,Unknown sept,Unknown society,NA,NA
Kaisel Noramaga,Kandori,NA,Lan Mandragoran,NA,NA,NA,Alive,NA,NA,NA,TOM:42,NA,Male,NA,NA,AMOL:29,NA,NA,NA,NA,NA,Prince,NA
Kajin,Shienaran,Guard,NA,NA,NA,NA,alive,NA,NA,NA,TGH:8,TGH:6,Male,NA,tall,TGH:9,NA,NA,NA,NA,NA,Lord,NA
Kalyan Ramsin,Saldaean,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TPOD:Prologue,NA,Male,NA,NA,AMOL:10,NA,NA,NA,NA,NA,Lord,NA
Kappre,Domani,Soldier,Dragon Reborn,NA,NA,NA,Alive,NA,NA,NA,TOM:21,NA,Male,NA,NA,TOM:21,NA,NA,NA,NA,NA,NA,NA
Karam,Andoran,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,AMOL:Prologue,NA,Male,NA,NA,AMOL:Prologue,NA,NA,NA,NA,NA,Lord,NA
Karile,Unknown nationality,Warder,NA,NA,Very large,NA,Dead,NA,979 NE,NA,NS:7,NA,Male,"Golden, Bearded",NA,NS:7,NA,NA,NA,NA,NA,Gaidin,NA
Karldin Manfor,Andoran,Asha'man,The Dragon Reborn,NA,NA,NA,Dead,NA,NA,NA,ACOS:2,NA,Male,Pale,NA,AMOL:37,NA,NA,Asha'man,NA,NA,NA,NA
Karm,Seanchan,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TGS:Prologue,NA,Male,NA,NA,TGS:Prologue,NA,NA,Quartermaster,NA,NA,NA,NA
Kash,Unknown nationality,Asha'man,The Shadow,NA,NA,NA,Alive,NA,NA,NA,AMOL:42,TOM:46,Male,NA,NA,AMOL:42,NA,NA,Asha'man,NA,NA,NA,NA
Kashgar,Saldaean,Soldier,Children of the Light,NA,Lean,NA,Alive,NA,NA,NA,KOD:Prologue,NA,Male,NA,NA,KOD:Prologue,NA,NA,Under-Lieutenant,NA,NA,NA,NA
Kayen Yokata,Shienaran,NA,NA,NA,NA,NA,Dead,NA,1000 NE,NA,WH:27,NA,Male,NA,NA,WH:27,AMOL:18,NA,Lord,NA,NA,Lord of Fal Eisen,NA
Keemlin Rai,Kandori,Soldier,Kandor,NA,NA,NA,Dead,NA,1000 NE,NA,TOM:Prologue,NA,Male,NA,NA,TOM:Prologue,NA,NA,NA,NA,NA,NA,NA
Kelwin Janevor,Andoran,NA,House Trakand,NA,Wiry,NA,Alive,NA,NA,NA,KOD:17,NA,Male,NA,NA,KOD:32,NA,NA,NA,NA,NA,Lord,NA
Kely Huldin,Andoran,Weaver,NA,NA,NA,NA,Alive,NA,NA,NA,LOC:3,LOC:3,Male,NA,NA,LOC:3,LOC:3,NA,NA,NA,NA,NA,NA
Kendral,Arafellin,NA,Lan Mandragoran,NA,NA,NA,Alive,NA,NA,NA,NA,TOM:42,Male,NA,NA,NA,TOM:42,NA,Prince,NA,NA,NA,NA
Kenley Ahan,Andoran,NA,Two Rivers,NA,NA,NA,Dead,NA,999 NE,NA,TEOTW:Ravens,NA,Male,NA,NA,TSR:40,TSR:43,NA,NA,NA,NA,NA,NA
Kenly Maerin,Andoran,Soldier,Perrin Aybara,NA,Stocky,NA,Alive,NA,NA,NA,ACOS:1,NA,Male,NA,Short,TOM:24,NA,NA,NA,NA,NA,NA,NA
Kennar Miraj,Seanchan,Soldier,NA,NA,NA,NA,Dead,NA,1000 NE,NA,TPOD:24,NA,Male,NA,NA,NA,NA,NA,Captain-General,NA,NA,NA,NA
Kennit,Unknown nationality,Warder,NA,NA,NA,NA,Alive,NA,NA,NA,NA,WH:10,Male,NA,NA,NA,WH:10,NA,NA,NA,NA,Gaidin,NA
Kerb,Domani,Apprentice,NA,NA,Spindly,NA,Dead,NA,NA,NA,TGS:32,NA,Male,Light,NA,TGS:33,NA,NA,NA,NA,NA,NA,NA
Kert Wagoner,Andoran,Farmer,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,AMOL:1,NA,Male,NA,NA,AMOL:1,NA,NA,NA,NA,NA,NA,NA
Kev Barstere,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,KOD:29,NA,Male,NA,NA,KOD:29,NA,NA,NA,NA,NA,NA,NA
Kevrim al'Azar,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TSR:56,NA,Male,NA,NA,TSR:56,NA,NA,NA,NA,NA,NA,NA
Kimtin,Unknown nationality,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,AMOL:37,Male,NA,NA,NA,AMOL:37,NA,NA,NA,NA,NA,NA
Kin,Unknown nationality,Entertainer,Valan Luca,NA,NA,NA,Alive,NA,NA,NA,TFOH:17,NA,Male,NA,NA,TFOH:48,NA,NA,NA,NA,NA,NA,NA
Kin Tovere,Cairhienin,Lensmaker,The Dragon Reborn,NA,Stocky,NA,Alive,NA,NA,NA,TFOH:41,NA,Male,Bald,NA,LOC:18,COT:Prologue,NA,NA,NA,NA,NA,NA
Kindlin,Andoran,Soldier,Queen's Guard,NA,NA,NA,Alive,NA,NA,NA,NA,KOD:13,Male,NA,NA,NA,KOD:13,NA,Captain,NA,NA,NA,NA
Kinhuin,Aiel,NA,Sevanna,NA,NA,Unknown clan,Dead,NA,1000 NE,Green,TPOD:11,NA,Male,NA,NA,KOD:30,TGS:21,NA,NA,Unknown sept,Mera'din,NA,NA
Kireyin,Ghealdanin,Soldier,Perrin Aybara,NA,Lean,NA,Alive,NA,NA,NA,COT:25,NA,Male,NA,NA,COT:27,NA,NA,NA,NA,NA,Lord,NA
Kiril Drapaneos,Illianer,NA,Dragon Reborn,NA,Stork-like,NA,Alive,NA,NA,NA,TPOD:23,NA,Male,NA,Tall,TPOD:24,NA,NA,NA,NA,NA,Lord,NA
Kirin Almeyda,Ghealdanin,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,RPG,Male,NA,NA,NA,RPG,NA,King,NA,NA,King of Ghealdan,NA
Kirkun,Saldaean,Soldier,NA,NA,NA,NA,Dead,NA,1000 NE,NA,KOD:20,NA,Male,NA,NA,KOD:20,NA,NA,NA,NA,NA,NA,NA
Kline,Unknown nationality,Warder,White Tower,NA,NA,NA,Alive,NA,NA,NA,NA,AMOL:37,Male,NA,NA,NA,AMOL:37,NA,NA,NA,NA,Gaidin,NA
Kodam,Unknown nationality,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TSR:26,Male,NA,NA,NA,TSR:26,NA,Aes Sedai (Age of Legends),NA,NA,NA,NA
Koimal,NA,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:54,Male,NA,NA,NA,LOC:54,Ogier,NA,NA,NA,NA,NA
Kolom,NA,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:49,Male,NA,NA,NA,LOC:49,Ogier,NA,NA,NA,NA,NA
Kostelle,Altaran,Merchant,NA,NA,NA,NA,Alive,NA,NA,NA,KOD:11,NA,Male,Gray,NA,KOD:11,KOD:11,NA,NA,NA,NA,NA,NA
Kragil,Unknown nationality,NA,NA,NA,NA,NA,Dead,NA,1000 NE,NA,NA,AMOL:9,Male,NA,NA,NA,AMOL:9,NA,NA,NA,NA,NA,NA
Kralle,Kandori,Soldier,Kandor,NA,NA,NA,Dead,NA,1000 NE,NA,TOM:Prologue,NA,Male,NA,NA,TOM:Prologue,NA,NA,NA,NA,NA,NA,NA
Kuehn,Shienaran,Soldier,Lan Mandragoran,NA,NA,NA,Alive,NA,NA,NA,TOM:23,NA,Male,NA,NA,TOM:23,NA,NA,NA,NA,NA,NA,NA
Kyril Shianri,Arafellin,Lord,Arafel,NA,Lean,NA,Alive,NA,NA,NA,TPOD:Prologue,NA,Male,NA,Tall,TPOD:Prologue,NA,NA,NA,NA,NA,NA,NA
Lacel,NA,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TGH:35,Male,NA,NA,NA,TGH:35,Ogier,NA,NA,NA,NA,NA
Ladwin,Unknown nationality,Soldier,Band of the Red Hand,NA,Stocky,NA,Alive,NA,NA,NA,LOC:40,LOC:38,Male,NA,Short,AMOL:Prologue,NA,NA,Scout,NA,NA,NA,NA
Laefar,NA,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TSR:16,NA,Male,NA,NA,TSR:16,NA,Ogier,NA,NA,NA,NA,NA
Laerad,Aiel,NA,Sevanna,NA,Grizzled,Shaido,Dead,NA,1000 NE,NA,ACOS:40,NA,Male,NA,NA,ACOS:40,NA,NA,NA,Moshaine,Duadhe Mahdi'in,NA,NA
Laerid Traehand,Andoran,NA,House Trakand,NA,Stocky,NA,Alive,NA,NA,NA,KOD:17,NA,Male,NA,NA,KOD:32,NA,NA,NA,NA,NA,Lord,NA
Lain Mandragoran,Malkieri,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TEOTW:47,Male,NA,NA,NA,TGH:7,NA,NA,NA,NA,Lord,NA
Laman Damodred,Cairhienin,NA,NA,NA,NA,NA,Dead,NA,978 NE,NA,NA,NS:2,Male,NA,NA,NA,AMOL:23,NA,King,NA,NA,King of Cairhien,NA
Lamgwin Dorn,Andoran,NA,Morgase Trakand,NA,Hulking,NA,Alive,NA,NA,NA,TEOTW:39,NA,Male,NA,NA,TOM:44,NA,NA,NA,NA,NA,NA,NA
Landalin,Kandori,Soldier,Kandor,NA,NA,NA,Dead,NA,1000 NE,NA,TOM:Prologue,NA,Male,NA,NA,TOM:Prologue,NA,NA,Lieutenant,NA,NA,NA,NA
Lathin,Unknown nationality,Soldier,Children of the Light,NA,NA,NA,Dead,NA,998 NE,NA,TEOTW:30,NA,Male,NA,NA,NA,TOM:35,NA,NA,NA,NA,NA,NA
Latian Basar,Cairhienin,NA,Cha Faile,NA,NA,NA,Alive,NA,NA,NA,COT:25,NA,Male,NA,NA,COT:26,COT:27,NA,NA,NA,NA,NA,NA
Laud,NA,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TGH:35,Male,NA,NA,NA,TGH:35,Ogier,NA,NA,NA,NA,NA
Lawdrin Mendair,Unknown nationality,Soldier,Band of the Red Hand,NA,NA,NA,Dead,NA,1000 NE,NA,ACOS:37,LOC:47,Male,NA,NA,ACOS:38,NA,NA,Redarm,NA,NA,NA,NA
Lawtin,Unknown nationality,Soldier,Band of the Red Hand,NA,NA,NA,Dead,NA,1000 NE,NA,NA,ACOS:37,Male,NA,NA,NA,ACOS:37,NA,Redarm,NA,NA,NA,NA
Ledar,NA,Author,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:54,Male,NA,NA,NA,COT:Prologue,Ogier,NA,NA,NA,NA,NA
Ledron,Murandian,Unknown occupation,NA,NA,NA,NA,Dead,NA,NA,NA,TGS:28,NA,Male,NA,NA,TGS:28,NA,NA,NA,NA,NA,NA,NA
Leems,Unknown nationality,Dreadlord,The Shadow,NA,NA,NA,Alive,NA,NA,NA,AMOL:3,NA,Male,NA,NA,AMOL:4,NA,NA,Asha'man,NA,NA,NA,NA
Lehynen,Domani,Soldier,Dragon Reborn,NA,NA,NA,Dead,NA,1000 NE,NA,TOM:21,NA,Male,NA,NA,TOM:21,NA,NA,NA,NA,NA,NA,NA
Leiran,Aiel,NA,Car'a'carn,NA,NA,Chareen,Alive,NA,NA,NA,LOC:4,NA,Male,NA,NA,LOC:4,AMOL:37,NA,NA,Cosaida,Sha'mad Conde,NA,NA
Lem al'Dai,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,WH:6,NA,Male,NA,NA,WH:6,NA,NA,NA,NA,NA,NA,NA
Lem Thane,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TEOTW:Ravens,NA,Male,NA,NA,TEOTW:Ravens,TEOTW:8,NA,NA,NA,NA,NA,NA
Lenn,NA,NA,NA,NA,NA,NA,Fictional character,NA,NA,NA,NA,TEOTW:4,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leof Torfinn,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,Deep-set,TSR:44,NA,Male,NA,NA,KOD:26,NA,NA,NA,NA,NA,NA,NA
Leonin,Arafellin,Warder,White Tower,NA,NA,NA,Alive,NA,NA,NA,COT:Prologue,NA,Male,"Black, braided with bells",NA,COT:Prologue,TGS:12,NA,NA,NA,NA,Gaidin,NA
Lerman,Unknown nationality,Builder,NA,NA,NA,NA,Alive,NA,NA,NA,NA,ACOS:Prologue,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuese Mulan,Tairen,Merchant,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TDR:48,Male,NA,NA,NA,TDR:48,NA,NA,NA,NA,NA,NA
Lewin,Aiel,NA,NA,NA,NA,Da'shain Aiel,Dead,NA,NA,NA,TSR:25,NA,Male,NA,NA,TSR:26,NA,NA,NA,NA,NA,NA,NA
Lews Therin Telamon,NA,General,NA,NA,NA,NA,Dead,NA,NA,NA,TEOTW:Prologue,NA,Male,Brown and White,NA,TEOTW:Prologue,AMOL:25,NA,Aes Sedai (Age of Legends),NA,NA,First Among Servants,NA
Lidrin,Domani,Soldier,Dragon Reborn,NA,NA,NA,Dead,NA,1000 NE,hard,TGS:Prologue,NA,Male,NA,NA,TOM:21,NA,NA,NA,NA,NA,Lord,NA
Lir Baryn,Andoran,NA,House Trakand,NA,Slender,NA,Alive,NA,NA,NA,TFOH:19,NA,Male,NA,NA,AMOL:2,NA,NA,High Seat,NA,NA,Lord,NA
Llyw,Murandian,Warder,White Tower,NA,"Wide, Very large",NA,Alive,NA,NA,NA,COT:30,NA,Male,NA,Tall,KOD:23,NA,NA,NA,NA,NA,Gaidin,NA
Logain Ablar,Ghealdanin,Asha'man,Dragon Reborn,NA,NA,NA,Alive,971 NE,NA,NA,TEOTW:39,TEOTW:3,Male,"Dark, curling, shoulder length",Tall,AMOL:48,NA,NA,Asha'man,NA,NA,Sealbreaker,NA
Loial,NA,Treesinger,NA,NA,NA,NA,Alive,908 NE,NA,Pale,TEOTW:36,NA,Male,"Black, shaggy",Tall,AMOL:Epilogue,NA,Ogier,NA,NA,NA,NA,NA
Lomas,Kandori,NA,Kandor,NA,NA,NA,Alive,NA,NA,NA,TPOD:Prologue,NA,Male,NA,NA,TPOD:Prologue,NA,NA,NA,NA,NA,NA,NA
Londraed,Unknown nationality,Soldier,Band of the Red Hand,NA,NA,NA,Alive,NA,NA,NA,KOD:27,NA,Male,NA,NA,AMOL:Prologue,NA,NA,NA,NA,NA,NA,NA
Lopin,Tairen,Servant,Band of the Red Hand,NA,Stout,NA,Dead,NA,1000 NE,NA,LOC:44,NA,Male,Balding,NA,TOM:9,TOM:Epilogue,NA,NA,NA,NA,NA,NA
Lorstrum Aesnan,Cairhienin,NA,Cairhien,NA,"Thin, lanky",NA,Alive,NA,NA,NA,TOM:50,NA,Male,NA,Tall,TOM:52,NA,NA,NA,NA,NA,Lord,NA
Lothair Mantelar,Unknown nationality,NA,Children of the Light,NA,NA,NA,Dead,NA,NA,NA,NA,TSR:17,Male,NA,NA,NA,TOM:40,NA,NA,NA,NA,NA,NA
Luan Norwelyn,Andoran,NA,House Trakand,NA,NA,NA,Alive,NA,NA,NA,LOC:16,TFOH:19,Male,Graying,NA,KOD:35,NA,NA,High Seat,NA,NA,Lord,NA
Luca (Aiel),Aiel,NA,NA,NA,NA,Da'shain Aiel,Dead,NA,NA,NA,TSR:25,NA,Male,NA,NA,TSR:25,NA,NA,NA,NA,NA,NA,NA
Lucellin,Unknown nationality,Soldier,Children of the Light,NA,NA,NA,Alive,NA,NA,NA,NA,TSR:1,Male,NA,NA,NA,TSR:1,NA,NA,NA,NA,NA,NA
Lunal Galgan,Seanchan,NA,NA,NA,NA,NA,Alive,NA,NA,Blue,KOD:Prologue,NA,Male,White,Tall,AMOL:37,NA,NA,Captain-General,NA,NA,NA,NA
Lurts,Saldaean,Soldier,NA,NA,Muscular,NA,Alive,NA,NA,NA,TGS:32,NA,Male,NA,NA,TGS:32,NA,NA,NA,NA,NA,NA,NA
Lussin,Cairhienin,NA,Band of the Red Hand,NA,NA,NA,Alive,NA,NA,NA,TOM:19,NA,Male,NA,NA,TOM:19,NA,NA,NA,NA,NA,NA,NA
Luthair Paendrag Mondwin,Seanchan,NA,NA,NA,NA,NA,Dead,FY 967,NA,NA,NA,TGH:40,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lyncon,Cairhienin,Carpenter,NA,NA,NA,NA,Alive,NA,NA,NA,TGS:9,NA,Male,NA,NA,TGS:9,NA,NA,NA,NA,NA,NA,NA
Lyonford,Saldaean,King,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TOM:16,Male,NA,NA,NA,TOM:16,NA,NA,NA,NA,NA,NA
Ma'combe,Seanchan,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TGS:19,NA,Male,NA,NA,TGS:19,TGS:19,NA,So'jhin,NA,NA,NA,NA
Machan,Unknown nationality,Warder,White Tower,NA,NA,NA,Alive,NA,NA,NA,NA,TFOH:27,Male,NA,NA,NA,TFOH:27,NA,NA,NA,NA,Gaidin,NA
Macharan,Andoran,NA,NA,NA,Bear-like,NA,Alive,NA,NA,NA,TPOD:18,LOC:28,Male,NA,NA,TPOD:18,NA,NA,NA,NA,NA,Lord,NA
Machir,Domani,NA,Arad Doman,NA,NA,NA,Alive,NA,NA,NA,NA,COT:Prologue,Male,NA,NA,NA,COT:Prologue,NA,NA,NA,NA,Lord,NA
Macoll,Unknown nationality,Soldier,Band of the Red Hand,NA,NA,NA,Alive,NA,NA,NA,KOD:37,NA,Male,NA,NA,KOD:37,NA,NA,Bannerman,NA,NA,NA,NA
Madic,Altaran,Servant,Darkfriend,NA,NA,NA,Dead,NA,1000 NE,NA,ACOS:16,NA,Male,Balding,NA,TPOD:2,NA,NA,NA,NA,NA,NA,NA
Madoc Comadrin,Unknown nationality,Soldier,NA,NA,NA,NA,Dead,NA,NA,NA,NA,LOC:5,Male,NA,NA,NA,KOD:37,NA,General,NA,NA,NA,NA
Madresin Mandevwin,Cairhienin,Soldier,Band of the Red Hand,NA,Stocky,NA,Alive,NA,NA,NA,KOD:27,NA,Male,Gray streaks,NA,TGS:36,NA,NA,Captain,NA,NA,NA,NA
Madwin,Unknown nationality,Soldier,Band of the Red Hand,NA,NA,NA,NA,NA,NA,NA,NA,KOD:27,Male,NA,NA,NA,AMOL:Prologue,NA,Officer,NA,NA,NA,NA
Maecine,NA,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TFOH:22,Male,NA,NA,NA,TFOH:22,NA,King,NA,NA,King of Eharon,NA
Maedin Bashere,Saldaean,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TSR:41,Male,NA,NA,NA,TSR:41,NA,NA,NA,NA,NA,NA
